Restaurant Name,Address,Ratings,price,OnlineBooking,Phone,Famous Dishes
Arabian knights,"3rd floor, Opp Bata showroom, above Aptronix, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,510,YES,098569 93993,Ginger Prawns
Santhosh Dhaba,"30-9-1, Sharda Street, Daba Garden Rd, beside Center Point Hotel, Visakhapatnam, Andhra Pradesh 530020",3.8,400,YES,086396 89258,Veg Biryani
Collection O Rr Grand,"LIC Building, Jail Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.9,610,NO,0124 620 1530, Chicken Kalmi kebab
Rajdhani Hotel,"30-12-19, Ranga St, Daba Gardens, Junction, Visakhapatnam, Andhra Pradesh 530020",3.7,260,NO,094402 00330,Non veg platter
Bombay Restaurant,"31-32-75 Gantasala Marg Ladies Gate, Beside, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.9,810,YES,089125 62222,Chicken Biryani
Shree Shyam Restaurant,"30-11-2, first left lane before hdfc bank, Daba Gardens, 530020, 11-2, Lakshmi St, Visakhapatnam, Andhra Pradesh 530020",3.7,210,YES,_,Veg Pulao
Horizon Restaurant,"7th floor, Dolphin hotel, 75 Feet Road, Daba Garden Rd, Dolphin Area, Visakhapatnam, Andhra Pradesh 530020",4.5,"1,100.00",NO,0891 662 2444,_
Ganapathi Restaurant,"31-32-74, Beside Jothee Theatre Ladies Gate, behind Dolphin hotel, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.9,410,YES,093471 62019,Jain Food
Hotel amaravathi," Amaravati Building Cell Point upstairs, 30-15-110, Daba Garden Rd, Lalitha Colony, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.7,510,YES,0891 666 0124,Chicken Fried Rice
Spicy Paradise,"Yellamathota Road, Jagadamba Theatre, Yellammagudi Backside, Daba Gardens, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 535002",3.6,450,YES,040 6740 8400,Chicken Boneless Biryani
Ashoka Restaruant,"30-13-11, Leelamahal Up Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.7,480,YES,7947116630, Chicken Kalmi kebab
Ramayya Veg. Restaurant,"8, Daba Garden Rd, Near Bank Of Baroda, Prakasaraopeta, Daba Gardens, Ram Nagar, Visakhapatnam, Andhra Pradesh 530020",4,250,NO,093476 93112,Meals
Indian Flavours ,"Ladies gate, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.8,510,YES,096762 24488,Chicken Fry Biryani
Helapuri Multicuisine ,"Ground Floor, Ravi Plaza, Daba Gardens, Visakhapatnam - 530020 (Opposite Chitralaya Mall , Vizag)",4.1,410,YES,7942685029,Chicken Fried Rice
Cascades Restaurant,"NO, 75 Feet Rd, Dolphin Area, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4.3,"1,100.00",YES,093476 93112,Keema Dosa
Manjeera ,"Leela Plaza, Daba Garden Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4.2,710,NO,7947414395,Grilled Chicken
Sai Krishna Paradise," Lalitha Colony, Nehru Nagar, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.8,410,NO,_,BBQ Grill Chicken
Manasa Restaruant,"Near Sangeet & Geeth Theatre, Daba Gardens,Allipuram Main Rd, Visakhapatnam, Andhra Pradesh 530020",3.9,310,YES,7942685410,Tandoori Chicken
Sri Alkaipuri Family Restaurant," Daba Garden Rd, Saraswathi Jct, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.5,410,YES,9133366788,Chicken Noodles
Rajasthani Dhaba,"31, 33, Leelamahal Up Rd, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",3.8,300,NO,099669 42419,Dal Makhani
K&V Restaurant," P77X+J6F, Unnamed Road, Dolphin Area, Daba Gardens, 104 Area, Visakhapatnam, Andhra Pradesh 530020",4,170,NO,7947416072,Pot Biryani
Orange Restaurant,"House NO 30-14-9, Daba Gardens, Visakhapatnam - 530020 (Saraswathi Park Junction)",3.7,410,YES,083744 55255,_
Jaihind Restaurant,"P77W+PVJ, Allipuram Main Rd, Daba Gardens, Mahaarajupeta, Visakhapatnam, Andhra Pradesh 530020",3.6,1550,NO,8912571819,_
Visakha Military Hotel,"31-35-14, Allipuram Main Rd, Bangaramma Metta, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020",4,450,YES,096661 74848,Military Meal
Dolphin Hotel,"75 Feet Road, Dolphin Hotel Jct, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",4.3,900,YES,0891 662 2444,Grilled Chicken Sandwich
The Spicy Venue,"Siripuram Cir, Balaji Nagar, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4.1,800,Yes,9492655553,Apricot Delight
Sri Kanya Comfort,"M1, Siripuram, Siripuram, Visakhapatnam - 530003 (Beside Gurajada Kalakshetram)",4.1,610,Yes,0891 2533333,Fried Chicken Biryani
Rajus Kitchen," No 9-17-21, GM Mansion, CBM Compound, Opposite Road To Bethany School, VIP Rd, Visakhapatnam, Andhra Pradesh 530003",3.8,510,Yes,7416444459,Chicken Fry Biryani With Chicken Lollipop
Paradise,"9-14-1, VIP Rd, Sector 4, BM Compound, Siripuram, Visakhapatnam, Andhra Pradesh 530003",3.8,410,Yes,_,Dum Biryani
Barbeque Nations,"4rd Floor, D. no 10-50-12, Sripuram, 9-Block, Waltair Main Rd, opposite Governor Bungalow, beside Reliance Trends, Andhra Pradesh 530003",4.4,"1,500.00",Yes,7416106000,Cajun Potatoes
Ironhill Brewery,"House No 9-30-1, Plot No 25, First Floor, Siripuram, Visakhapatnam - 530003 (Near Dutt Island , Above PMJ Jewellers)",4.1,"1,500.00",Yes,8977767676,"Vanilla Panna Cotta, Peri Peri Chicken"
Mandi Croods,"Door No 8-43-8, Chinna Waltair Main Road, China Waltiar, Visakhapatnam - 530003 (Opposite Kotak Mahindra Bank)",4,410,Yes,091006 21316,Chicken Mandi
Hotel Meghalaya ,"Hotel Meghalaya, Asilametta Junction, Asilmetta, Visakhapatnam - 530003",3.8,750,Yes,6301957214,Jadoh
Foodex,"Block A, Udhyog Bhawan Complex, Chinna Waltair Main Rd, behind HSBC, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4.1,410,Yes,0891 2702552,"Pizzas,Sandwich's,cakes"
Sam's Griddle,"3rd Floor, Srikanya Canopy, Opp, Waltair Club, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4.1,"1,100.00",Yes,_,"Spinach balls, chicken peri peri"
Kamat Restaurant,"Vuda Complex, Waltair Club Rd, Siripuram, Visakhapatnam, Andhra Pradesh 530003",3.7,700,Yes,99886 46999,Butter Masala Dosa & Idli Vada Mix & Onion Uttapam
Maa Nethi Vindu,"Pandurangapuram, Visakhapatnam, Andhra Pradesh 530003",4.1,410,Yes,_,Pelli Bhojanam
Tandoori Treats,"10-1-44/1, VIP Rd, CBM Compound, Opposite IDBI Bank, Siripuram, Visakhapatnam, Andhra Pradesh 530003",3.6,600,Yes,_,"Chicken Fry, Chicken Lollipop, Boneless Chicken Biryani"
Fusion Foods," beside Gurajada Kalakshetram, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4.5,800,Yes,_,"Mughlai Chicken Biryani, Mutton Fry Biryani"
The Gateway Hotel,"Dr NTR Beach Rd, Pandurangapuram, Visakhapatnam, Andhra Pradesh 530002",4.6,"1,200.00",Yes,8916623670,"Spl. Mughlai Chicken Biryani,Prawns Biryani"
Hotel Green Park ,"Nehru Nagar, Ram Nagar, Visakhapatnam, Andhra Pradesh 530020",4.6,"1,100.00",Yes,8916615151,Tandoori Non Veg Platter
AB's - Absolute Barbecues,"FOURTH FLOOR, Plot No. 244A UMA VINAYAGAR, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016",4.5,"1,600.00",Yes,7337383763,"Hawkers Grilled Fish
"
Upland Bristo,"10-26-1/1, opposite to Waltair Club, Waltair Uplands, Ravindra Nagar, Visakhapatnam, Andhra Pradesh 530003",4.5,"1,200.00",Yes,8088261886,"Cheese Nachos, Veg Quesadilla, Herbed Chicken Broth Soup"
Bombay Restaurant,"31-32-75 Gantasala Marg Ladies Gate, Beside, Jothee Theatre Rd, Daba Gardens, Visakhapatnam, Andhra Pradesh 530020",3.8,450,Yes,8912562222,"Bombay Special Mixed Biryani, Chicken Malai Kebab"
Novotel Visakhapatnam,"Dr NTR Beach Rd, Krishna Nagar, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002",4.2,"3,000.00",Yes,8912822222,"Barbequed Chicken,Lobster,Prawn,Chennai Shrimp"
Brew 'n' Bistro,"Ground Madhu Dwarapu Garden Building, 102, Dr NTR Beach Rd, near KKR Goutham School, Lawsons Bay Colony, Visakhapatnam, Andhra Pradesh 530017",3.6,500,Yes,9440373839,"Alfredo [ Chicken Pasta ], Bnb Club Veg Sandwich"
Somaa Restobar,"4TH FLOOR, VIP CENTER, VIP Rd, Siripuram, Visakhapatnam, Andhra Pradesh 530003",4.2,800,Yes,9211112666,"Special Chicken Boneless Biryani, Chicken Mughlai Zafrani Biryani"
The Vizag Drive in," 4-72-14, Dr NTR Beach Rd, next to BPCL Petrol Bunk, Lawsons Bay Colony, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4,600,No,089774 74747,Chicken Shawarma
Godavari Restaurant," Lawsons Bay Colony, Pedda Waltair, Visakhapatnam, Andhra Pradesh 530017",4.1,500,Yes,078937 23450,"Sea foods,Andhra Meals"
Athidhi Devo Bhava,"Vijayanagar Colony, Lawsons Bay Colony, Pedda Waltair, Visakhapatnam, Andhra Pradesh 530017",4.2,800,Yes,081068 96789,"Veg Meals,Veg Pulao"
Hashtag Restro Cafe,"Plot no 171, near Delhi public school,Lawson's bay, Visakhapatnam, Andhra Pradesh 530017",3.7,600,Yes,075692 68682,"Coffee,Cappacino,Deserts"
Arun's Paradise Restaurant," Shop No. 18, Adarsh Nagar Rd, Ushodaya Junction, Sector 12, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",3.6,500,Yes,096185 56363,"Tiffins,Fried Rice,Biryanis"
Gismat Arabic Restaurant,"RK, 1st Floor Gismat Arabic Restaurant, Lawson's Bay Coloney, Dr NTR Beach Rd, Visakhapatnam, Andhra Pradesh 530017",3.9,800,Yes,083676 57585,Chicken Mandi
Red Velvet,"171, 1-118-17, MIG, 12, Adarsh Nagar Rd, Near Ushodaya Junction, Sector 12, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",4.2,400,Yes,098096 11234,"Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages, Desserts"
Six Degrees,"1-83-29, MVP Double Rd, MVP Sector 7, Sector 4, Sector 5, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",3.9,600,Yes,_,"Special Mushroom Biryani, Risotto Al Forno, Risotto Funghi E Zafferano"
My Restaurant,"NH16, behind Pot Biryani Point, Shivaji Palem, Isukathota, Maddilapalem, Visakhapatnam, Andhra Pradesh 530022",4,600,Yes,088865 33555,Pot Biryanis
Dine Destiny," Hotel Ocean Vista Bay,Cricket Academy, Dr NTR Beach Rd, East Point Colony, Visakhapatnam, Andhra Pradesh 530017",4.6,600,Yes,095228 28289,"Classic Margherita Pizza, Chicken Peri Peri Dine Destiny Pizza"
The Red Box,"MVP Double Rd, MVP Sector 7, Sector 4, Sector 5, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",3.9,450,Yes,098488 81198,"Momos,Chinese Noodles"
Real Deepak Punjabi Dhaba,"1st 50-40-20/A Opp Karur Vysya Bank, TPT Colony, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",3.8,700,Yes,081214 41199,"Chicken Biryani,Mutton Biryani, Kaju Curry"
Mr.Kitchen," Door No. 55, 15-10, HB Colony Rd, Bhanu Nagar, Seethammadara, Visakhapatnam, Andhra Pradesh 530022",4.3,500,Yes,083411 51500,"Chicken Dum Biryani,Non Veg Starters"
V Delights,"Besides Krishna College, opp. Union Bank of India, H B Colony, Visakhapatnam, Andhra Pradesh 530022",4.9,600,Yes,_,"Ragi Sangati,Chicken Mughalai Biryani,Hariyali Fish Biryani"
Cafe Military,"JR Nagar, SadaramComplex, Venkojipalem, Visakhapatnam, Andhra Pradesh 530022",4.1,350,Yes,_,"Idly, Poori, Avari Kudum, Ghee Masala Dosa, Pesarattu Upma, Sambar Idli"
Hunger Wheelz,"Beside Children's Park 50-117-17, 10/4, 60 Feet Road, North Extension, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",4.2,250,Yes,099669 69666,Veg & Non Veg Tiffins
Millet Rasoi," 55-1-19/1, behind Vrindavan Ayurvedic Village, opp. goshala, JR Nagar, Venkojipalem, Visakhapatnam, Andhra Pradesh 530022",4.3,200,Yes,094413 88855,Millets
Fry Bucket Biryani,"Shop No 5, Junction, beside MuraliKrishna Temple, near Isukathota, Maddilapalem, Visakhapatnam, Andhra Pradesh 530022",3.9,300,Yes,_,Bucket Dum or Fry piece biryani's
Hungry Hippo Resto Cafe,"50-49-43/A, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",3.8,500,Yes,_,"pizza, lasagna & pasta,grilled chicken & milkshakes."
Bandits Of Biryani-B. O. B," 50-39-9, near ganesh babu hospital, adjacent lane, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",3.9,500,Yes,093818 60775,"Chicken Dum Biryani,Mughali Biryani"
